,committee,title,name,role,party,town
0,"Agriculture, Conservation and Forestry",Rep,William D. Pluecker,Chair,I,Warren
1,"Agriculture, Conservation and Forestry",Rep,Allison Hepler,,D,Woolwich
2,"Agriculture, Conservation and Forestry",Rep,Laurie Osher,,D,Orono
3,"Agriculture, Conservation and Forestry",Rep,Rebecca L. Jauch,,D,Topsham
4,"Agriculture, Conservation and Forestry",Rep,Kathleen A. Shaw,,D,Auburn
5,"Agriculture, Conservation and Forestry",Rep,,Ranking Minority Party Member,R,Wilton
6,"Agriculture, Conservation and Forestry",Rep,Danny Edward Costain,,R,Plymouth
7,"Agriculture, Conservation and Forestry",Rep,Dean A. Cray,,R,Palmyra
8,"Agriculture, Conservation and Forestry",Rep,Timothy C. Guerrette,,R,Caribou
9,"Agriculture, Conservation and Forestry",Rep,Caldwell Jackson,,R,Oxford
10,"Agriculture, Conservation and Forestry",Sen,Henry Ingwersen,Chair,D,York
11,"Agriculture, Conservation and Forestry",Sen,Craig Hickman,,D,Kennebec
12,"Agriculture, Conservation and Forestry",Sen,Russell Black,,R,Franklin
13,Appropriations and Financial Affairs,Rep,Melanie Sachs,Chair,D,Freeport
14,Appropriations and Financial Affairs,Rep,Jessica L. Fay,,D,Raymond
15,Appropriations and Financial Affairs,Rep,Benjamin T. Collings,,D,Portland
16,Appropriations and Financial Affairs,Rep,Ann Higgins Matlack,,D,St. George
17,Appropriations and Financial Affairs,Rep,Rebecca J. Millett,,D,Cape Elizabeth
18,Appropriations and Financial Affairs,Rep,Drew Gattine,,D,Westbrook
19,Appropriations and Financial Affairs,Rep,,Ranking Minority Party Member,R,Waterford
20,Appropriations and Financial Affairs,Rep,John E. Ducharme,,R,Madison
21,Appropriations and Financial Affairs,Rep,Mark John Blier,,R,Buxton
22,Appropriations and Financial Affairs,Rep,Nathan M. Carlow,,R,Buxton
23,Appropriations and Financial Affairs,Sen,Peggy Rotundo,Chair,D,Androscoggin
24,Appropriations and Financial Affairs,Sen,Jill Duson,,D,Cumberland
25,Appropriations and Financial Affairs,Sen,Richard Bennett,,R,Oxford
26,Criminal Justice and Public Safety,Rep,Travis Rock Hasenfus,Chair,D,Readfield
27,Criminal Justice and Public Safety,Rep,Grayson B. Lookner,,D,Portland
28,Criminal Justice and Public Safety,Rep,Suzanne M. Salisbury,,D,Westbrook
29,Criminal Justice and Public Safety,Rep,Kristi Michele Mathieson,,D,Kittery
30,Criminal Justice and Public Safety,Rep,Michel A. Lajoie,,D,Lewiston
31,Criminal Justice and Public Safety,Rep,Nina Azella Milliken,,D,Blue Hill
32,Criminal Justice and Public Safety,Rep,,Ranking Minority Party Member,R,Oakland
33,Criminal Justice and Public Safety,Rep,Daniel J. Newman,,R,Belgrade
34,Criminal Justice and Public Safety,Rep,Donald J. Ardell,,R,Monticello
35,Criminal Justice and Public Safety,Rep,Chad Richard Perkins,,R,Dover-Foxcroft
36,Criminal Justice and Public Safety,Sen,Pinny Beebe-Center,Chair,D,Knox
37,Criminal Justice and Public Safety,Sen,David LaFountain,,D,Kennebec
38,Criminal Justice and Public Safety,Sen,Matthew Harrington,,R,York
39,Education and Cultural Affairs,Rep,Michael F. Brennan,Chair,D,Portland
40,Education and Cultural Affairs,Rep,Janice S. Dodge,,D,Belfast
41,Education and Cultural Affairs,Rep,Rebecca J. Millett,,D,Cape Elizabeth
